Sections Found,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting,,,,,,,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute,,,
SR,10442,ACC,511,0,OS5,3,Acc Data Analytics&Emerg Techn,M,06:30 pm-09:10 pm,20,0,20,99,0,99,0,0,0,Priyanka Meharia (P),08/30-12/17,ONLINE,,,,
SR,10480,ACC,540,0,OS5,3,Corp Financial Reporting,M,06:30 pm-09:10 pm,20,0,20,99,0,99,0,0,0,Lijyun Angela Hwang (P),08/30-12/17,ONLINE,,,,
SR,13558,ACC,540,10,OS5,3,Corp Financial Reporting,W,06:30 pm-09:10 pm,20,0,20,99,0,99,0,0,0,Lijyun Angela Hwang (P),08/30-12/17,ONLINE,,,,
SR,10304,ACC,541,0,OS5,3,Advanced Financial Accounting,R,06:30 pm-09:10 pm,20,1,19,99,0,99,0,0,0,Lijyun Angela Hwang (P),08/30-12/17,ONLINE,,,,
SR,13422,ACC,544,0,M5,3,Federal Income Taxation,W,06:30 pm-09:10 pm,10,0,10,99,0,99,25,0,25,TBA,08/30-12/17,TBA,,,,
SR,10222,ACC,546,0,MA5,3,Government&Non-Profit Acctg,,TBA,20,1,19,99,0,99,0,0,0,William D LaGore (P),08/30-12/17,ONLINE,,,,
,,,,,,,,R,05:00 pm-06:15 pm,,,,,,,,,,William D LaGore (P),09/30-09/30,TBA,,,,
,,,,,,,,R,05:00 pm-06:15 pm,,,,,,,,,,William D LaGore (P),11/04-11/04,TBA,,,,
SR,10963,ACC,548,0,OS5,3,Info Sys Audit & Control,MW,05:00 pm-06:15 pm,20,0,20,99,0,99,0,0,0,Barbara Waddington Ross (P),08/30-12/17,ONLINE,,,,
SR,10570,ACC,550,0,OS5,3,Professional Internal Auditing,T,06:30 pm-09:10 pm,10,0,10,99,0,99,25,0,25,D Robert Okopny (P),08/30-12/17,ONLINE,,,,
SR,12505,ACC,550,10,OS5,3,Professional Internal Auditing,TR,05:00 pm-06:15 pm,10,0,10,99,0,99,25,0,25,D Robert Okopny (P),08/30-12/17,ONLINE,,,,
SR,12058,ACC,560,0,OS5,3,Fraud Examination,R,06:30 pm-09:10 pm,10,0,10,99,0,99,25,0,25,D Robert Okopny (P),08/30-12/17,ONLINE,,,,
SR,11887,ACC,567,0,M5,3,Professional Auditing,T,06:30 pm-09:10 pm,20,0,20,99,0,99,0,0,0,Daniel Brickner (P),08/30-12/17,TBA,,,,
SR,12866,ACC,584,0,OS5,3,"Tax Rsch, Mthds,Pratice&Problm",M,06:30 pm-09:10 pm,20,0,20,99,0,99,0,0,0,Noel P Brock (P),08/30-12/17,ONLINE,,,,
SR,10780,ACC,585,0,OS5,3,Fedrl Tax of Corp & Partnrshps,W,06:30 pm-09:10 pm,20,0,20,99,0,99,0,0,0,Noel P Brock (P),08/30-12/17,ONLINE,,,,
SR,10316,ACC,586,0,M5,1,Co-op Education in Accounting,,TBA,1,0,1,99,0,99,0,0,0,D Robert Okopny (P),08/30-12/17,TBA,,,,
SR,10223,ACC,605,0,M5,3,Strategic Info & Control Sys,R,06:30 pm-09:10 pm,20,0,20,99,0,99,0,0,0,Anthony Daniel Kurek (P),08/30-12/17,TBA,,,,
SR,11086,ACC,646,0,M5,3,Financial Mgmt Nonprofit Orgs,R,06:30 pm-09:10 pm,15,0,15,99,0,99,25,0,25,TBA,08/30-12/17,TBA,,,,
SR,11927,ACC,687,0,OS5,3,Advanced Partnership Taxation,MW,05:00 pm-06:15 pm,20,0,20,99,0,99,0,0,0,Noel P Brock (P),08/30-12/17,ONLINE,,,,
SR,10284,ACC,696,0,OS5,3,"Acctg Theory, Research&Policy",T,06:30 pm-09:10 pm,20,2,18,99,0,99,0,0,0,Howard Bunsis (P),08/30-12/17,ONLINE,,,,
SR,15005,ACC,697,0,M5,1,Independent Study,,TBA,1,0,1,0,0,0,0,0,0,Randall J Hucks (P),08/30-12/17,TBA,,,,
SR,10296,ACC,699,10,M5,3,Independent Study,,TBA,2,0,2,0,0,0,0,0,0,TBA,08/30-12/17,TBA,,,,
SR,12461,ACC,699,11,M5,3,Independent Study,,TBA,1,0,1,0,0,0,0,0,0,TBA,08/30-12/17,TBA,,,,
Africology & African Amer Stu,,,,,,,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute,,,
